Household_Size,Daily_Meal_Count,Meal_Type,Shopping_Habit,Storage_Availability,Awareness_of_Waste_Management,Leftovers_Frequency,Income_Range,Cooking_Preference,Cultural_Cuisine_Preference,Perishability_Awareness,Seasonal_Variation,Weekly_Food_Waste_kg
2,2,Non-Vegetarian,Daily,Large,Medium,Sometimes,Medium,Fresh Daily,Italian,Somewhat aware,Winter,0.96
4,4,Non-Vegetarian,Bulk Buying,Large,Medium,Sometimes,Medium,Reheated,Street Food,Somewhat aware,Winter,5.47
1,4,Mixed,Weekly,Medium,Low,Often,Medium,Fresh Daily,Chinese,Somewhat aware,All year,3.03
4,3,Mixed,Weekly,Large,Medium,Sometimes,Low,Batch Cooking,Street Food,Somewhat aware,Winter,4.13
1,4,Non-Vegetarian,Weekly,Small,High,Often,High,Reheated,Fusion,Aware,Monsoon,3.09
4,2,Mixed,Daily,Medium,Medium,Sometimes,High,Fresh Daily,South Indian,Somewhat aware,Summer,1.75
4,1,Mixed,Daily,Large,Medium,Never,Low,Batch Cooking,Indian,Not aware,Winter,2.09
1,1,Mixed,Daily,Medium,Low,Sometimes,High,Batch Cooking,North Indian,Not aware,Monsoon,0.97
5,4,Non-Vegetarian,Weekly,Large,Low,Often,High,Batch Cooking,North Indian,Not aware,All year,5.74
3,4,Non-Vegetarian,Weekly,Medium,High,Sometimes,Medium,Batch Cooking,South Indian,Aware,Winter,2.76
5,3,Vegetarian,Bulk Buying,Large,Medium,Often,Low,Batch Cooking,Street Food,Not aware,All year,5.12
1,1,Vegetarian,Daily,Medium,High,Sometimes,Medium,Fresh Daily,Indian,Somewhat aware,Monsoon,0.1
2,2,Non-Vegetarian,Bulk Buying,Large,Medium,Sometimes,Medium,Fresh Daily,Fusion,Somewhat aware,All year,2.7
3,1,Vegetarian,Daily,Small,High,Often,High,Reheated,Chinese,Not aware,Summer,2.48
2,1,Vegetarian,Daily,Large,Low,Never,Low,Fresh Daily,North Indian,Not aware,Summer,0.67
2,1,Non-Vegetarian,Weekly,Large,Medium,Sometimes,Low,Fresh Daily,Fusion,Aware,Summer,1.58
4,3,Vegetarian,Weekly,Large,Medium,Sometimes,High,Batch Cooking,Chinese,Somewhat aware,All year,3.24
1,1,Vegetarian,Bulk Buying,Medium,Medium,Sometimes,Low,Reheated,Indian,Somewhat aware,All year,1.4
5,4,Non-Vegetarian,Daily,Large,Low,Never,Medium,Fresh Daily,Chinese,Not aware,Summer,4.47
1,2,Vegetarian,Daily,Small,Medium,Sometimes,Low,Fresh Daily,North Indian,Not aware,All year,1.78
2,2,Non-Vegetarian,Daily,Large,High,Sometimes,Low,Fresh Daily,Indian,Not aware,Summer,1.48
4,3,Vegetarian,Weekly,Medium,Medium,Sometimes,Low,Batch Cooking,Fusion,Not aware,Monsoon,3.52
5,4,Vegetarian,Daily,Medium,Low,Sometimes,Medium,Fresh Daily,Chinese,Not aware,Winter,2.74
2,2,Non-Vegetarian,Weekly,Medium,Low,Sometimes,Low,Batch Cooking,Chinese,Not aware,Monsoon,2.09
2,1,Non-Vegetarian,Daily,Medium,High,Sometimes,Medium,Batch Cooking,Indian,Not aware,All year,1.09
6,1,Vegetarian,Weekly,Medium,Medium,Often,Medium,Reheated,South Indian,Aware,Monsoon,3.19
6,4,Non-Vegetarian,Bulk Buying,Large,Medium,Sometimes,Medium,Reheated,Fusion,Not aware,Winter,5.09
4,1,Mixed,Bulk Buying,Small,Medium,Often,High,Reheated,North Indian,Somewhat aware,Winter,3.54
3,3,Mixed,Daily,Medium,Medium,Sometimes,Low,Fresh Daily,Street Food,Aware,Monsoon,3.37
3,2,Non-Vegetarian,Weekly,Small,High,Sometimes,Low,Fresh Daily,Fusion,Not aware,Winter,2.0
4,4,Non-Vegetarian,Daily,Small,Low,Often,Low,Reheated,North Indian,Not aware,Summer,4.68
4,1,Vegetarian,Daily,Medium,Medium,Sometimes,Medium,Batch Cooking,South Indian,Aware,Monsoon,1.41
2,4,Non-Vegetarian,Weekly,Medium,Medium,Never,Medium,Reheated,Fusion,Not aware,Summer,3.08
1,3,Mixed,Daily,Medium,High,Often,Low,Fresh Daily,South Indian,Not aware,Winter,2.51
1,2,Vegetarian,Daily,Medium,Medium,Sometimes,Medium,Fresh Daily,Indian,Not aware,All year,1.19
6,1,Vegetarian,Daily,Small,Low,Never,Medium,Batch Cooking,South Indian,Somewhat aware,Monsoon,2.36
3,4,Mixed,Weekly,Small,Medium,Sometimes,Medium,Fresh Daily,Indian,Somewhat aware,Monsoon,2.55
3,2,Mixed,Weekly,Medium,Low,Often,Medium,Fresh Daily,Indian,Aware,Summer,1.72
3,2,Non-Vegetarian,Weekly,Medium,Medium,Sometimes,Medium,Batch Cooking,North Indian,Not aware,Monsoon,2.53
5,2,Mixed,Weekly,Medium,Medium,Sometimes,High,Batch Cooking,Italian,Somewhat aware,Winter,1.59
1,1,Vegetarian,Weekly,Small,Medium,Sometimes,Medium,Fresh Daily,Chinese,Somewhat aware,All year,1.1
1,2,Non-Vegetarian,Daily,Medium,Low,Sometimes,Low,Reheated,North Indian,Somewhat aware,Summer,1.67
2,1,Vegetarian,Weekly,Medium,Low,Never,Low,Reheated,South Indian,Not aware,All year,2.11
3,1,Vegetarian,Daily,Medium,Medium,Often,Medium,Batch Cooking,Chinese,Not aware,Monsoon,1.94
5,2,Vegetarian,Bulk Buying,Small,Low,Sometimes,Medium,Batch Cooking,Fusion,Aware,Monsoon,2.77
3,1,Non-Vegetarian,Weekly,Small,Low,Never,High,Batch Cooking,Chinese,Not aware,Winter,2.53
3,2,Vegetarian,Bulk Buying,Medium,High,Sometimes,Medium,Reheated,Fusion,Not aware,Winter,2.07
6,4,Non-Vegetarian,Weekly,Medium,Medium,Sometimes,Low,Reheated,Chinese,Aware,Summer,3.39
1,1,Vegetarian,Weekly,Large,Low,Often,Medium,Batch Cooking,North Indian,Somewhat aware,Winter,2.44
4,1,Vegetarian,Daily,Medium,Medium,Sometimes,Low,Fresh Daily,Street Food,Not aware,All year,1.76
4,1,Mixed,Bulk Buying,Small,Low,Often,Low,Fresh Daily,Chinese,Aware,Winter,2.73
3,3,Mixed,Daily,Medium,High,Often,Low,Fresh Daily,Italian,Not aware,Summer,2.29
5,2,Mixed,Daily,Small,Medium,Never,Medium,Fresh Daily,Chinese,Aware,Winter,1.9
2,2,Vegetarian,Daily,Small,Low,Never,Low,Batch Cooking,Street Food,Not aware,Winter,2.61
6,1,Vegetarian,Daily,Medium,Low,Sometimes,Medium,Reheated,South Indian,Aware,Monsoon,1.83
2,2,Mixed,Daily,Medium,Low,Never,Low,Batch Cooking,Fusion,Not aware,Summer,1.48
4,2,Vegetarian,Bulk Buying,Small,Medium,Never,Medium,Fresh Daily,Italian,Not aware,All year,3.29
4,2,Non-Vegetarian,Daily,Large,Low,Sometimes,Medium,Fresh Daily,Fusion,Not aware,Summer,2.03
6,3,Mixed,Daily,Medium,High,Often,High,Batch Cooking,Chinese,Somewhat aware,Winter,3.49
3,4,Non-Vegetarian,Weekly,Medium,Medium,Sometimes,Low,Fresh Daily,South Indian,Somewhat aware,Summer,2.88
2,2,Vegetarian,Weekly,Medium,Low,Often,Medium,Fresh Daily,Fusion,Not aware,Summer,3.1
1,4,Vegetarian,Weekly,Large,Medium,Sometimes,Medium,Reheated,Italian,Not aware,Monsoon,2.52
3,3,Vegetarian,Bulk Buying,Large,Medium,Never,Medium,Fresh Daily,Italian,Somewhat aware,Winter,3.38
5,2,Vegetarian,Bulk Buying,Small,Medium,Sometimes,Medium,Fresh Daily,Indian,Not aware,All year,3.26
1,1,Non-Vegetarian,Daily,Medium,Medium,Sometimes,Medium,Fresh Daily,South Indian,Somewhat aware,Monsoon,0.88
6,2,Mixed,Weekly,Small,Low,Never,Medium,Reheated,North Indian,Not aware,All year,3.36
4,3,Vegetarian,Weekly,Medium,High,Sometimes,Medium,Batch Cooking,South Indian,Not aware,Summer,2.2
1,1,Mixed,Weekly,Medium,High,Sometimes,Low,Reheated,Street Food,Somewhat aware,Monsoon,0.78
2,4,Vegetarian,Weekly,Large,Medium,Sometimes,High,Batch Cooking,Chinese,Aware,Summer,2.21
4,2,Non-Vegetarian,Daily,Medium,Medium,Often,High,Batch Cooking,Fusion,Not aware,Winter,4.03
2,4,Vegetarian,Daily,Medium,High,Often,Medium,Fresh Daily,North Indian,Somewhat aware,Monsoon,2.52
1,3,Vegetarian,Weekly,Small,Low,Sometimes,Medium,Fresh Daily,Street Food,Somewhat aware,All year,2.85
4,2,Non-Vegetarian,Weekly,Small,High,Never,Medium,Fresh Daily,North Indian,Somewhat aware,Winter,1.37
5,1,Vegetarian,Weekly,Medium,Low,Never,Medium,Batch Cooking,South Indian,Aware,Summer,1.17
1,3,Vegetarian,Daily,Medium,Medium,Sometimes,High,Batch Cooking,Street Food,Aware,All year,2.69
2,2,Mixed,Weekly,Medium,High,Often,Low,Fresh Daily,Chinese,Not aware,All year,2.22
2,1,Non-Vegetarian,Weekly,Large,Low,Sometimes,Low,Reheated,Fusion,Not aware,Monsoon,1.76
4,4,Vegetarian,Bulk Buying,Small,Medium,Often,Medium,Fresh Daily,South Indian,Not aware,All year,5.42
5,2,Mixed,Weekly,Medium,Low,Sometimes,Low,Batch Cooking,South Indian,Not aware,All year,2.64
5,1,Mixed,Daily,Small,Medium,Never,Low,Reheated,South Indian,Not aware,Winter,2.44
6,2,Non-Vegetarian,Bulk Buying,Small,Medium,Often,Low,Fresh Daily,Chinese,Not aware,Monsoon,5.02
5,2,Mixed,Weekly,Medium,High,Sometimes,Medium,Batch Cooking,Italian,Aware,Summer,1.14
2,4,Mixed,Bulk Buying,Medium,Low,Never,Medium,Reheated,Chinese,Not aware,Monsoon,3.17
1,3,Vegetarian,Bulk Buying,Small,High,Often,Low,Reheated,Street Food,Somewhat aware,Winter,4.0
4,1,Non-Vegetarian,Weekly,Medium,High,Sometimes,High,Reheated,Fusion,Not aware,Monsoon,2.03
6,1,Vegetarian,Bulk Buying,Small,Medium,Never,Low,Batch Cooking,Fusion,Aware,All year,2.96
6,3,Mixed,Daily,Large,Medium,Never,Low,Fresh Daily,Street Food,Somewhat aware,Winter,3.31
2,1,Mixed,Weekly,Medium,Medium,Sometimes,Medium,Batch Cooking,Chinese,Not aware,Monsoon,1.3
2,2,Vegetarian,Weekly,Medium,High,Sometimes,Medium,Batch Cooking,Indian,Not aware,Monsoon,1.22
1,1,Mixed,Weekly,Large,Medium,Often,Low,Reheated,Street Food,Somewhat aware,Winter,1.92
1,1,Mixed,Weekly,Small,Medium,Often,High,Fresh Daily,Chinese,Aware,Summer,2.66
4,4,Vegetarian,Bulk Buying,Small,Low,Never,Medium,Reheated,Street Food,Not aware,All year,4.65
4,1,Vegetarian,Weekly,Large,Medium,Often,Medium,Reheated,Chinese,Not aware,Monsoon,2.69
3,1,Vegetarian,Daily,Large,Medium,Often,Low,Batch Cooking,South Indian,Not aware,Winter,2.45
2,4,Mixed,Bulk Buying,Medium,Low,Sometimes,Medium,Fresh Daily,South Indian,Not aware,All year,3.96
5,1,Vegetarian,Weekly,Small,Medium,Never,Medium,Fresh Daily,Fusion,Not aware,Monsoon,2.0
3,4,Mixed,Daily,Medium,High,Often,Low,Fresh Daily,Italian,Somewhat aware,All year,2.43
5,1,Non-Vegetarian,Weekly,Medium,Medium,Sometimes,Medium,Fresh Daily,North Indian,Not aware,Monsoon,2.2
6,1,Mixed,Weekly,Small,Low,Sometimes,Medium,Reheated,Fusion,Not aware,Summer,2.6
2,1,Mixed,Weekly,Small,Medium,Never,Low,Batch Cooking,Street Food,Not aware,Winter,2.39
2,3,Mixed,Daily,Small,Medium,Sometimes,Medium,Fresh Daily,North Indian,Not aware,Winter,2.13
6,3,Vegetarian,Daily,Medium,High,Often,Low,Batch Cooking,Indian,Somewhat aware,Winter,3.41
4,2,Vegetarian,Daily,Small,Medium,Often,High,Fresh Daily,Italian,Not aware,Winter,3.51
2,1,Non-Vegetarian,Weekly,Small,High,Often,Medium,Batch Cooking,Italian,Not aware,Winter,2.54
4,1,Mixed,Daily,Large,Medium,Sometimes,Low,Reheated,South Indian,Not aware,Monsoon,1.65
4,3,Vegetarian,Weekly,Large,Low,Often,Low,Batch Cooking,Indian,Not aware,All year,3.56
6,1,Non-Vegetarian,Daily,Large,High,Sometimes,Medium,Batch Cooking,North Indian,Not aware,Summer,2.13
2,3,Mixed,Weekly,Small,Low,Sometimes,Medium,Reheated,Chinese,Not aware,Monsoon,2.77
6,3,Vegetarian,Weekly,Medium,High,Often,Low,Batch Cooking,Italian,Somewhat aware,Monsoon,2.98
6,4,Non-Vegetarian,Weekly,Medium,Low,Often,Low,Batch Cooking,Fusion,Aware,Winter,4.02
2,2,Non-Vegetarian,Daily,Medium,Low,Often,Low,Fresh Daily,Indian,Not aware,Monsoon,3.74
1,1,Mixed,Weekly,Medium,Medium,Sometimes,Low,Batch Cooking,South Indian,Not aware,Monsoon,1.12
4,2,Mixed,Weekly,Small,Medium,Often,Low,Fresh Daily,North Indian,Not aware,All year,3.73
1,4,Vegetarian,Weekly,Medium,Low,Often,Low,Batch Cooking,North Indian,Not aware,Summer,3.87
2,3,Vegetarian,Weekly,Small,Medium,Often,Medium,Fresh Daily,Indian,Somewhat aware,Winter,2.75
3,3,Mixed,Daily,Large,Low,Sometimes,Medium,Fresh Daily,South Indian,Somewhat aware,Winter,2.12
6,2,Vegetarian,Daily,Medium,High,Never,High,Fresh Daily,Street Food,Not aware,Winter,3.01
6,1,Vegetarian,Weekly,Large,High,Sometimes,Medium,Batch Cooking,Italian,Somewhat aware,Monsoon,1.02
1,4,Mixed,Weekly,Medium,Low,Sometimes,High,Fresh Daily,Chinese,Not aware,Monsoon,2.93
6,4,Vegetarian,Weekly,Large,High,Sometimes,Medium,Fresh Daily,Street Food,Not aware,Monsoon,3.82
1,4,Vegetarian,Bulk Buying,Medium,Medium,Sometimes,Low,Fresh Daily,Street Food,Not aware,Summer,3.7
5,4,Non-Vegetarian,Weekly,Small,High,Sometimes,High,Fresh Daily,South Indian,Somewhat aware,Winter,2.78
6,2,Non-Vegetarian,Daily,Small,Medium,Sometimes,Low,Batch Cooking,Chinese,Not aware,Monsoon,3.86
6,2,Non-Vegetarian,Daily,Small,Low,Never,Medium,Fresh Daily,Italian,Aware,Summer,3.08
2,1,Vegetarian,Daily,Medium,High,Often,Low,Fresh Daily,Chinese,Not aware,Monsoon,1.55
6,4,Mixed,Daily,Medium,Low,Sometimes,High,Batch Cooking,Chinese,Somewhat aware,All year,3.68
1,3,Non-Vegetarian,Daily,Large,Low,Never,Low,Fresh Daily,Fusion,Not aware,All year,2.55
4,2,Non-Vegetarian,Daily,Small,Low,Often,High,Fresh Daily,Italian,Somewhat aware,Monsoon,3.82
3,4,Vegetarian,Bulk Buying,Medium,Medium,Sometimes,Medium,Reheated,North Indian,Not aware,Summer,3.96
2,3,Mixed,Weekly,Medium,Medium,Often,Medium,Fresh Daily,Street Food,Not aware,Summer,4.24
1,4,Mixed,Weekly,Small,Medium,Often,Low,Batch Cooking,Indian,Aware,Summer,3.97
5,4,Non-Vegetarian,Daily,Medium,Medium,Never,Medium,Batch Cooking,Fusion,Somewhat aware,Summer,4.02
3,1,Mixed,Bulk Buying,Small,Medium,Sometimes,Low,Reheated,Italian,Not aware,Winter,2.3
4,2,Vegetarian,Weekly,Medium,Low,Never,Medium,Fresh Daily,Indian,Somewhat aware,All year,1.38
3,3,Non-Vegetarian,Daily,Medium,Medium,Often,Low,Fresh Daily,Indian,Somewhat aware,All year,2.14
3,4,Non-Vegetarian,Bulk Buying,Medium,Medium,Often,Low,Reheated,Italian,Somewhat aware,Winter,4.57
6,1,Mixed,Weekly,Small,Medium,Sometimes,Low,Batch Cooking,North Indian,Somewhat aware,Summer,1.97
1,2,Non-Vegetarian,Weekly,Small,Low,Sometimes,Low,Fresh Daily,Fusion,Not aware,Winter,3.31
5,3,Mixed,Weekly,Large,High,Sometimes,Medium,Fresh Daily,Street Food,Somewhat aware,Summer,2.36
5,4,Non-Vegetarian,Daily,Large,Medium,Never,Low,Batch Cooking,South Indian,Somewhat aware,Monsoon,3.25
3,1,Vegetarian,Daily,Medium,High,Often,Medium,Batch Cooking,Chinese,Not aware,Summer,2.01
2,3,Non-Vegetarian,Weekly,Medium,High,Sometimes,Low,Fresh Daily,Fusion,Somewhat aware,Winter,1.3
1,2,Non-Vegetarian,Daily,Medium,Medium,Sometimes,Medium,Fresh Daily,Fusion,Not aware,Monsoon,1.78
6,1,Mixed,Weekly,Small,Medium,Often,Low,Reheated,Street Food,Not aware,All year,3.1
6,3,Mixed,Bulk Buying,Medium,Low,Sometimes,Low,Fresh Daily,Chinese,Not aware,All year,3.74
2,2,Non-Vegetarian,Weekly,Small,Medium,Often,Low,Fresh Daily,Indian,Not aware,Monsoon,3.48
1,3,Non-Vegetarian,Daily,Medium,High,Sometimes,Medium,Batch Cooking,Indian,Not aware,Winter,1.3
1,2,Vegetarian,Weekly,Medium,Medium,Sometimes,Medium,Batch Cooking,South Indian,Somewhat aware,Winter,0.81
1,4,Non-Vegetarian,Weekly,Medium,Low,Sometimes,Medium,Fresh Daily,South Indian,Aware,All year,1.9
5,1,Mixed,Weekly,Medium,High,Sometimes,Low,Fresh Daily,North Indian,Somewhat aware,Summer,0.26
6,4,Vegetarian,Weekly,Large,Medium,Sometimes,Low,Fresh Daily,Chinese,Aware,All year,2.47
1,1,Mixed,Bulk Buying,Small,Medium,Sometimes,Low,Batch Cooking,Indian,Aware,Summer,1.45
5,3,Vegetarian,Weekly,Medium,High,Sometimes,Low,Fresh Daily,Fusion,Not aware,Winter,2.49
2,2,Mixed,Daily,Small,Medium,Often,Low,Batch Cooking,Street Food,Somewhat aware,Winter,3.39
3,2,Non-Vegetarian,Daily,Medium,Medium,Sometimes,Low,Reheated,South Indian,Not aware,All year,3.19
4,1,Non-Vegetarian,Weekly,Large,Medium,Often,Medium,Batch Cooking,South Indian,Somewhat aware,All year,2.02
5,3,Mixed,Daily,Small,High,Sometimes,Low,Batch Cooking,Street Food,Not aware,Winter,2.9
6,1,Vegetarian,Daily,Small,Low,Sometimes,Low,Fresh Daily,South Indian,Somewhat aware,Winter,1.67
1,3,Vegetarian,Bulk Buying,Medium,Medium,Sometimes,Low,Reheated,Italian,Aware,All year,1.86
2,3,Mixed,Daily,Small,Medium,Sometimes,Medium,Fresh Daily,Chinese,Not aware,Monsoon,2.54
2,4,Non-Vegetarian,Weekly,Medium,Medium,Sometimes,Low,Batch Cooking,Fusion,Not aware,Winter,2.96
2,3,Non-Vegetarian,Weekly,Medium,Low,Never,Medium,Batch Cooking,South Indian,Somewhat aware,Winter,2.33
6,2,Vegetarian,Weekly,Small,Medium,Never,Low,Batch Cooking,Chinese,Not aware,Summer,3.12
5,3,Non-Vegetarian,Bulk Buying,Large,High,Sometimes,Medium,Batch Cooking,Fusion,Not aware,Summer,3.22
2,4,Non-Vegetarian,Daily,Large,Low,Sometimes,Medium,Fresh Daily,Indian,Aware,Monsoon,2.68
6,2,Vegetarian,Weekly,Small,Low,Sometimes,Low,Fresh Daily,Chinese,Not aware,Monsoon,3.28
3,1,Mixed,Bulk Buying,Small,Medium,Sometimes,Low,Reheated,Chinese,Not aware,All year,2.8
4,4,Non-Vegetarian,Weekly,Small,Low,Never,Low,Fresh Daily,Chinese,Somewhat aware,Monsoon,4.16
3,1,Vegetarian,Daily,Medium,Low,Sometimes,Medium,Batch Cooking,Italian,Aware,Winter,1.93
1,3,Vegetarian,Daily,Medium,Medium,Never,Medium,Fresh Daily,Italian,Aware,All year,1.24
6,1,Non-Vegetarian,Weekly,Large,Low,Sometimes,Medium,Fresh Daily,Fusion,Not aware,All year,2.32
1,1,Mixed,Weekly,Medium,High,Often,Medium,Fresh Daily,South Indian,Somewhat aware,All year,1.56
2,4,Vegetarian,Daily,Small,Medium,Often,Low,Batch Cooking,North Indian,Somewhat aware,Summer,3.43
2,1,Mixed,Bulk Buying,Medium,Medium,Never,Medium,Batch Cooking,North Indian,Not aware,Summer,1.92
2,3,Mixed,Daily,Medium,Low,Often,High,Fresh Daily,North Indian,Not aware,Winter,2.94
1,3,Vegetarian,Bulk Buying,Medium,Low,Never,Low,Reheated,South Indian,Somewhat aware,Winter,2.19
1,1,Mixed,Daily,Large,High,Sometimes,High,Fresh Daily,Street Food,Somewhat aware,All year,1.26
5,1,Vegetarian,Daily,Small,Low,Sometimes,Medium,Batch Cooking,Indian,Aware,Summer,1.35
6,4,Non-Vegetarian,Weekly,Medium,Medium,Sometimes,Medium,Fresh Daily,Indian,Not aware,Winter,4.0
1,3,Mixed,Bulk Buying,Small,Low,Never,Low,Fresh Daily,Indian,Somewhat aware,Winter,2.44
2,1,Non-Vegetarian,Daily,Medium,Low,Often,Low,Batch Cooking,Italian,Aware,Summer,2.76
4,4,Non-Vegetarian,Weekly,Small,Medium,Often,High,Fresh Daily,Chinese,Somewhat aware,Summer,4.87
6,2,Mixed,Daily,Small,Medium,Never,Low,Fresh Daily,Chinese,Aware,All year,1.91
5,1,Vegetarian,Weekly,Small,High,Often,Medium,Fresh Daily,Chinese,Not aware,Summer,2.3
5,4,Vegetarian,Daily,Medium,Low,Never,Medium,Fresh Daily,Indian,Not aware,All year,2.97
4,1,Vegetarian,Daily,Large,High,Sometimes,Medium,Batch Cooking,South Indian,Not aware,Winter,1.76
3,3,Mixed,Weekly,Small,Low,Sometimes,Low,Batch Cooking,North Indian,Somewhat aware,All year,2.2
2,4,Non-Vegetarian,Daily,Large,Medium,Never,Low,Reheated,North Indian,Aware,Monsoon,2.35
6,3,Non-Vegetarian,Weekly,Small,Medium,Sometimes,Low,Reheated,Italian,Not aware,Summer,4.43
5,3,Vegetarian,Bulk Buying,Large,Medium,Often,High,Reheated,Fusion,Not aware,Monsoon,5.12
1,2,Mixed,Weekly,Small,Medium,Often,Low,Reheated,South Indian,Not aware,Monsoon,3.65
5,1,Vegetarian,Weekly,Medium,Medium,Sometimes,Low,Fresh Daily,North Indian,Somewhat aware,Monsoon,1.26
1,3,Mixed,Bulk Buying,Small,Low,Never,Medium,Batch Cooking,South Indian,Somewhat aware,Winter,2.77
5,4,Non-Vegetarian,Weekly,Large,Low,Never,Low,Fresh Daily,Street Food,Not aware,Summer,4.54
5,1,Mixed,Weekly,Small,High,Sometimes,Low,Fresh Daily,Italian,Somewhat aware,Monsoon,0.66
1,4,Mixed,Daily,Small,Medium,Often,Medium,Fresh Daily,South Indian,Somewhat aware,Monsoon,2.9
3,2,Non-Vegetarian,Weekly,Medium,Medium,Sometimes,High,Fresh Daily,Chinese,Not aware,Winter,3.18
1,3,Vegetarian,Weekly,Small,Low,Often,Medium,Batch Cooking,Fusion,Aware,All year,3.02
4,1,Non-Vegetarian,Weekly,Large,High,Sometimes,Medium,Fresh Daily,South Indian,Somewhat aware,Summer,0.55
6,3,Non-Vegetarian,Daily,Large,High,Often,Medium,Batch Cooking,Indian,Not aware,Monsoon,4.06
1,1,Non-Vegetarian,Daily,Medium,Medium,Sometimes,Low,Batch Cooking,Street Food,Not aware,Winter,2.71
3,2,Mixed,Weekly,Medium,Low,Sometimes,Medium,Fresh Daily,Chinese,Not aware,All year,2.11
6,3,Vegetarian,Weekly,Large,Medium,Sometimes,Medium,Fresh Daily,North Indian,Not aware,Summer,3.24
2,1,Mixed,Weekly,Small,Medium,Never,Medium,Batch Cooking,North Indian,Not aware,Summer,1.3
1,2,Non-Vegetarian,Daily,Medium,Medium,Never,Medium,Batch Cooking,Fusion,Not aware,All year,2.34
3,3,Mixed,Weekly,Medium,Medium,Often,Low,Reheated,Indian,Aware,Winter,2.78
4,1,Non-Vegetarian,Weekly,Medium,Medium,Sometimes,Medium,Batch Cooking,Street Food,Not aware,Winter,2.59
4,2,Mixed,Bulk Buying,Small,Low,Often,High,Batch Cooking,Chinese,Not aware,Monsoon,4.98
2,2,Non-Vegetarian,Weekly,Medium,Low,Sometimes,Medium,Fresh Daily,Italian,Aware,Winter,1.86
6,3,Non-Vegetarian,Weekly,Small,Low,Sometimes,Low,Fresh Daily,Fusion,Not aware,Winter,4.25
4,4,Vegetarian,Daily,Medium,Low,Sometimes,Low,Reheated,Fusion,Not aware,Monsoon,3.29
2,4,Mixed,Daily,Medium,Medium,Often,Low,Fresh Daily,Italian,Not aware,Summer,3.68
6,1,Vegetarian,Bulk Buying,Small,Medium,Often,Low,Batch Cooking,Street Food,Not aware,Monsoon,5.73
6,1,Vegetarian,Daily,Large,Medium,Never,Low,Fresh Daily,South Indian,Not aware,Winter,1.99
3,1,Non-Vegetarian,Weekly,Small,Medium,Often,Medium,Fresh Daily,Street Food,Somewhat aware,All year,4.01
1,3,Non-Vegetarian,Daily,Large,Low,Never,Low,Batch Cooking,South Indian,Not aware,Summer,2.44
4,1,Non-Vegetarian,Daily,Large,Medium,Never,High,Reheated,South Indian,Not aware,Summer,2.48
4,1,Mixed,Daily,Large,Medium,Sometimes,Medium,Fresh Daily,Fusion,Aware,All year,1.3
1,4,Vegetarian,Weekly,Medium,Low,Often,Medium,Batch Cooking,South Indian,Not aware,Monsoon,3.22
4,4,Vegetarian,Weekly,Small,Medium,Often,Low,Fresh Daily,Italian,Not aware,Winter,4.8
6,4,Vegetarian,Daily,Small,High,Sometimes,Medium,Fresh Daily,Italian,Not aware,Winter,3.23
1,2,Mixed,Daily,Medium,High,Sometimes,Low,Reheated,South Indian,Aware,Winter,0.49
5,3,Non-Vegetarian,Weekly,Medium,Medium,Often,High,Batch Cooking,South Indian,Not aware,Winter,5.31
1,3,Non-Vegetarian,Weekly,Medium,Medium,Never,Medium,Batch Cooking,South Indian,Not aware,Monsoon,3.02
5,1,Non-Vegetarian,Weekly,Small,High,Often,Medium,Batch Cooking,North Indian,Not aware,Summer,2.75
3,3,Non-Vegetarian,Weekly,Small,Medium,Sometimes,Medium,Batch Cooking,Street Food,Not aware,All year,4.42
1,3,Mixed,Daily,Medium,Medium,Sometimes,Medium,Fresh Daily,South Indian,Somewhat aware,Summer,1.64
6,2,Mixed,Daily,Medium,Medium,Never,Medium,Fresh Daily,Street Food,Somewhat aware,All year,2.73
1,4,Vegetarian,Daily,Medium,Medium,Often,Medium,Fresh Daily,South Indian,Somewhat aware,Monsoon,2.38
4,3,Vegetarian,Daily,Medium,Low,Often,Medium,Batch Cooking,Chinese,Not aware,Summer,4.06
2,3,Mixed,Weekly,Small,Medium,Sometimes,Low,Batch Cooking,Street Food,Not aware,All year,3.64
6,3,Vegetarian,Daily,Large,Medium,Often,Medium,Reheated,South Indian,Somewhat aware,Summer,3.75
5,4,Non-Vegetarian,Daily,Medium,Medium,Sometimes,High,Fresh Daily,Street Food,Not aware,Winter,5.09
5,3,Non-Vegetarian,Daily,Small,Low,Often,High,Batch Cooking,Indian,Somewhat aware,All year,4.06
3,2,Vegetarian,Daily,Small,High,Often,Low,Reheated,Fusion,Not aware,Monsoon,2.65
3,4,Vegetarian,Weekly,Medium,High,Often,Low,Batch Cooking,North Indian,Somewhat aware,Monsoon,2.71
4,3,Mixed,Daily,Small,High,Often,Low,Fresh Daily,South Indian,Somewhat aware,Summer,3.01
5,4,Vegetarian,Bulk Buying,Large,High,Sometimes,Low,Reheated,Italian,Not aware,Summer,3.52
6,1,Vegetarian,Bulk Buying,Small,High,Sometimes,Medium,Reheated,South Indian,Not aware,All year,2.51
1,2,Mixed,Weekly,Large,Medium,Never,Low,Reheated,Italian,Aware,Monsoon,1.04
4,4,Mixed,Weekly,Medium,Low,Sometimes,Low,Batch Cooking,Italian,Not aware,All year,3.79
1,3,Vegetarian,Bulk Buying,Medium,High,Sometimes,Medium,Fresh Daily,Fusion,Not aware,Winter,0.99
